Complex ID,grouping,wiki
1,Astoria--Ditmars Boulevard (BMT Astoria Line),https://en.wikipedia.org/wiki/Astoria%E2%80%93Ditmars_Boulevard_(BMT_Astoria_Line)
2,Astoria Boulevard--Hoyt Avenue (BMT Astoria Line),https://en.wikipedia.org/wiki/Astoria_Boulevard_(BMT_Astoria_Line)
3,30th Avenue--Grand Avenue (BMT Astoria Line),https://en.wikipedia.org/wiki/30th_Avenue_(BMT_Astoria_Line)
4,Broadway (BMT Astoria Line),https://en.wikipedia.org/wiki/Broadway_(BMT_Astoria_Line)
5,36th Avenue--Washington Avenue (BMT Astoria Line),https://en.wikipedia.org/wiki/36th_Avenue_(BMT_Astoria_Line)
6,39th Avenue--Beebe Avenue (BMT Astoria Line),https://en.wikipedia.org/wiki/39th_Avenue_(BMT_Astoria_Line)
8,Fifth Avenue--59th Street (BMT Broadway Line),https://en.wikipedia.org/wiki/Fifth_Avenue%E2%80%9359th_Street_(BMT_Broadway_Line)
9,57th Street--Seventh Avenue (BMT Broadway Line),https://en.wikipedia.org/wiki/57th_Street%E2%80%93Seventh_Avenue_(BMT_Broadway_Line)
10,49th Street (BMT Broadway Line),https://en.wikipedia.org/wiki/49th_Street_(BMT_Broadway_Line)
13,28th Street (BMT Broadway Line),https://en.wikipedia.org/wiki/28th_Street_(BMT_Broadway_Line)
14,23rd Street (BMT Broadway Line),https://en.wikipedia.org/wiki/23rd_Street_(BMT_Broadway_Line)
16,8th Street--New York University ,https://en.wikipedia.org/wiki/Eighth_Street%E2%80%93New_York_University_(BMT_Broadway_Line)
17,Prince Street (BMT Broadway Line),https://en.wikipedia.org/wiki/Prince_Street_(BMT_Broadway_Line)
20,City Hall (BMT Broadway Line),https://en.wikipedia.org/wiki/City_Hall_(BMT_Broadway_Line)
21,Cortlandt Street (BMT Broadway Line),https://en.wikipedia.org/wiki/Cortlandt_Street_(BMT_Broadway_Line)
22,Rector Street (BMT Broadway Line),https://en.wikipedia.org/wiki/Rector_Street_(BMT_Broadway_Line)
26,DeKalb Avenue (BMT Fourth Avenue Line),https://en.wikipedia.org/wiki/DeKalb_Avenue_(BMT_Fourth_Avenue_Line)
28,Union Street (BMT Fourth Avenue Line),https://en.wikipedia.org/wiki/Union_Street_(BMT_Fourth_Avenue_Line)
30,Prospect Avenue (BMT Fourth Avenue Line),https://en.wikipedia.org/wiki/Prospect_Avenue_(BMT_Fourth_Avenue_Line)
31,25th Street (BMT Fourth Avenue Line),https://en.wikipedia.org/wiki/25th_Street_(BMT_Fourth_Avenue_Line)
32,36th Street (BMT Fourth Avenue Line),https://en.wikipedia.org/wiki/36th_Street_(BMT_Fourth_Avenue_Line)
33,45th Street (BMT Fourth Avenue Line),https://en.wikipedia.org/wiki/45th_Street_(BMT_Fourth_Avenue_Line)
34,53rd Street (BMT Fourth Avenue Line),https://en.wikipedia.org/wiki/53rd_Street_(BMT_Fourth_Avenue_Line)
35,59th Street (BMT Fourth Avenue Line),https://en.wikipedia.org/wiki/59th_Street_(BMT_Fourth_Avenue_Line)
36,Bay Ridge Avenue (BMT Fourth Avenue Line),https://en.wikipedia.org/wiki/Bay_Ridge_Avenue_(BMT_Fourth_Avenue_Line)
37,77th Street (BMT Fourth Avenue Line),https://en.wikipedia.org/wiki/77th_Street_(BMT_Fourth_Avenue_Line)
38,86th Street (BMT Fourth Avenue Line),https://en.wikipedia.org/wiki/86th_Street_(BMT_Fourth_Avenue_Line)
39,Bay Ridge--95th Street (BMT Fourth Avenue Line),https://en.wikipedia.org/wiki/Bay_Ridge%E2%80%9395th_Street_(BMT_Fourth_Avenue_Line)
41,Seventh Avenue (BMT Brighton Line),https://en.wikipedia.org/wiki/Seventh_Avenue_(BMT_Brighton_Line)
42,Prospect Park (BMT Brighton Line),https://en.wikipedia.org/wiki/Prospect_Park_(BMT_Brighton_Line)
43,Parkside Avenue (BMT Brighton Line),https://en.wikipedia.org/wiki/Parkside_Avenue_(BMT_Brighton_Line)
44,Church Avenue (BMT Brighton Line),https://en.wikipedia.org/wiki/Church_Avenue_(BMT_Brighton_Line)
45,Beverley Road (BMT Brighton Line),https://en.wikipedia.org/wiki/Beverley_Road_(BMT_Brighton_Line)
46,Cortelyou Road (BMT Brighton Line),https://en.wikipedia.org/wiki/Cortelyou_Road_(BMT_Brighton_Line)
47,Newkirk Plaza (BMT Brighton Line),https://en.wikipedia.org/wiki/Newkirk_Plaza_(BMT_Brighton_Line)
48,Avenue H (BMT Brighton Line),https://en.wikipedia.org/wiki/Avenue_H_(BMT_Brighton_Line)
49,Avenue J (BMT Brighton Line),https://en.wikipedia.org/wiki/Avenue_J_(BMT_Brighton_Line)
50,Avenue M (BMT Brighton Line),https://en.wikipedia.org/wiki/Avenue_M_(BMT_Brighton_Line)
51,Kings Highway (BMT Brighton Line),https://en.wikipedia.org/wiki/Kings_Highway_(BMT_Brighton_Line)
52,Avenue U (BMT Brighton Line),https://en.wikipedia.org/wiki/Avenue_U_(BMT_Brighton_Line)
53,Neck Road (BMT Brighton Line),https://en.wikipedia.org/wiki/Neck_Road_(BMT_Brighton_Line)
54,Sheepshead Bay (BMT Brighton Line),https://en.wikipedia.org/wiki/Sheepshead_Bay_(BMT_Brighton_Line)
55,Brighton Beach (BMT Brighton Line),https://en.wikipedia.org/wiki/Brighton_Beach_(BMT_Brighton_Line)
56,Ocean Parkway (BMT Brighton Line),https://en.wikipedia.org/wiki/Ocean_Parkway_(BMT_Brighton_Line)
57,West Eighth Street--New York Aquarium (BMT Brighton Line / IND Culver Line),https://en.wikipedia.org/wiki/West_Eighth_Street%E2%80%93New_York_Aquarium_(New_York_City_Subway)
58,Coney Island Terminal--Stillwell Avenue,https://en.wikipedia.org/wiki/Coney_Island%E2%80%93Stillwell_Avenue_(New_York_City_Subway)
59,Ninth Avenue (BMT West End Line),https://en.wikipedia.org/wiki/Ninth_Avenue_(BMT_West_End_Line)
60,Fort Hamilton Parkway (BMT West End Line),https://en.wikipedia.org/wiki/Fort_Hamilton_Parkway_(BMT_West_End_Line)
61,50th Street (BMT West End Line),https://en.wikipedia.org/wiki/50th_Street_(BMT_West_End_Line)
62,55th Street (BMT West End Line),https://en.wikipedia.org/wiki/55th_Street_(BMT_West_End_Line)
64,71st Street (BMT West End Line),https://en.wikipedia.org/wiki/71st_Street_(BMT_West_End_Line)
65,79th Street (BMT West End Line),https://en.wikipedia.org/wiki/79th_Street_(BMT_West_End_Line)
66,18th Avenue (BMT West End Line),https://en.wikipedia.org/wiki/18th_Avenue_(BMT_West_End_Line)
67,20th Avenue (BMT West End Line),https://en.wikipedia.org/wiki/20th_Avenue_(BMT_West_End_Line)
68,Bay Parkway (BMT West End Line),https://en.wikipedia.org/wiki/Bay_Parkway_(BMT_West_End_Line)
69,25th Avenue (BMT West End Line),https://en.wikipedia.org/wiki/25th_Avenue_(BMT_West_End_Line)
70,Bay 50th Street (BMT West End Line),https://en.wikipedia.org/wiki/Bay_50th_Street_(BMT_West_End_Line)
71,Eighth Avenue (BMT Sea Beach Line),https://en.wikipedia.org/wiki/Eighth_Avenue_(BMT_Sea_Beach_Line)
72,Fort Hamilton Parkway (BMT Sea Beach Line),https://en.wikipedia.org/wiki/Fort_Hamilton_Parkway_(BMT_Sea_Beach_Line)
74,18th Avenue (BMT Sea Beach Line),https://en.wikipedia.org/wiki/18th_Avenue_(BMT_Sea_Beach_Line)
75,20th Avenue (BMT Sea Beach Line),https://en.wikipedia.org/wiki/20th_Avenue_(BMT_Sea_Beach_Line)
76,Bay Parkway (BMT Sea Beach Line),https://en.wikipedia.org/wiki/Bay_Parkway_(BMT_Sea_Beach_Line)
77,Kings Highway (BMT Sea Beach Line),https://en.wikipedia.org/wiki/Kings_Highway_(BMT_Sea_Beach_Line)
78,Avenue U (BMT Sea Beach Line),https://en.wikipedia.org/wiki/Avenue_U_(BMT_Sea_Beach_Line)
79,86th Street (BMT Sea Beach Line),https://en.wikipedia.org/wiki/86th_Street_(BMT_Sea_Beach_Line)
80,121st Street (BMT Jamaica Line),https://en.wikipedia.org/wiki/121st_Street_(BMT_Jamaica_Line)
81,111th Street (BMT Jamaica Line),https://en.wikipedia.org/wiki/111th_Street_(BMT_Jamaica_Line)
82,104th Street (BMT Jamaica Line),https://en.wikipedia.org/wiki/104th_Street_(BMT_Jamaica_Line)
83,Woodhaven Boulevard (BMT Jamaica Line),https://en.wikipedia.org/wiki/Woodhaven_Boulevard_(BMT_Jamaica_Line)
84,85th Street--Forest Parkway (BMT Jamaica Line),https://en.wikipedia.org/wiki/85th_Street%E2%80%93Forest_Parkway_(BMT_Jamaica_Line)
85,75th Street--Elderts Lane (BMT Jamaica Line),https://en.wikipedia.org/wiki/75th_Street%E2%80%93Elderts_Lane_(BMT_Jamaica_Line)
86,Cypress Hills (BMT Jamaica Line),https://en.wikipedia.org/wiki/Cypress_Hills_(BMT_Jamaica_Line)
87,Crescent Street (BMT Jamaica Line),https://en.wikipedia.org/wiki/Crescent_Street_(BMT_Jamaica_Line)
88,Norwood Avenue (BMT Jamaica Line),https://en.wikipedia.org/wiki/Norwood_Avenue_(BMT_Jamaica_Line)
89,Cleveland Street (BMT Jamaica Line),https://en.wikipedia.org/wiki/Cleveland_Street_(BMT_Jamaica_Line)
90,Van Siclen Avenue (BMT Jamaica Line),https://en.wikipedia.org/wiki/Van_Siclen_Avenue_(BMT_Jamaica_Line)
91,Alabama Avenue (BMT Jamaica Line),https://en.wikipedia.org/wiki/Alabama_Avenue_(BMT_Jamaica_Line)
93,Chauncey Street (BMT Jamaica Line),https://en.wikipedia.org/wiki/Chauncey_Street_(BMT_Jamaica_Line)
94,Halsey Street (BMT Jamaica Line),https://en.wikipedia.org/wiki/Halsey_Street_(BMT_Jamaica_Line)
95,Gates Avenue (BMT Jamaica Line),https://en.wikipedia.org/wiki/Gates_Avenue_(BMT_Jamaica_Line)
96,Kosciuszko Street (BMT Jamaica Line),https://en.wikipedia.org/wiki/Kosciuszko_Street_(BMT_Jamaica_Line)
97,Myrtle Avenue (BMT Jamaica Line),https://en.wikipedia.org/wiki/Myrtle_Avenue_(BMT_Jamaica_Line)
98,Flushing Avenue (BMT Jamaica Line),https://en.wikipedia.org/wiki/Flushing_Avenue_(BMT_Jamaica_Line)
99,Lorimer Street (BMT Jamaica Line),https://en.wikipedia.org/wiki/Lorimer_Street_(BMT_Jamaica_Line)
100,Hewes Street (BMT Jamaica Line),https://en.wikipedia.org/wiki/Hewes_Street_(BMT_Jamaica_Line)
101,Marcy Avenue (BMT Jamaica Line),https://en.wikipedia.org/wiki/Marcy_Avenue_(BMT_Jamaica_Line)
103,Bowery (BMT Nassau Street Line),https://en.wikipedia.org/wiki/Bowery_(BMT_Nassau_Street_Line)
107,Broad Street (BMT Nassau Street Line),https://en.wikipedia.org/wiki/Broad_Street_(BMT_Nassau_Street_Line)
108,Middle Village--Metropolitan Avenue (BMT Myrtle Avenue Line),https://en.wikipedia.org/wiki/Middle_Village%E2%80%93Metropolitan_Avenue_(BMT_Myrtle_Avenue_Line)
109,Fresh Pond Road (BMT Myrtle Avenue Line),https://en.wikipedia.org/wiki/Fresh_Pond_Road_(BMT_Myrtle_Avenue_Line)
110,Forest Avenue (BMT Myrtle Avenue Line),https://en.wikipedia.org/wiki/Forest_Avenue_(BMT_Myrtle_Avenue_Line)
111,Seneca Avenue (BMT Myrtle Avenue Line),https://en.wikipedia.org/wiki/Seneca_Avenue_(BMT_Myrtle_Avenue_Line)
113,Knickerbocker Avenue (BMT Myrtle Avenue Line),https://en.wikipedia.org/wiki/Knickerbocker_Avenue_(BMT_Myrtle_Avenue_Line)
114,Central Avenue (BMT Myrtle Avenue Line),https://en.wikipedia.org/wiki/Central_Avenue_(BMT_Myrtle_Avenue_Line)
118,Third Avenue (BMT Canarsie Line),https://en.wikipedia.org/wiki/Third_Avenue_(BMT_Canarsie_Line)
119,First Avenue (BMT Canarsie Line),https://en.wikipedia.org/wiki/First_Avenue_(BMT_Canarsie_Line)
120,Bedford Avenue (BMT Canarsie Line),https://en.wikipedia.org/wiki/Bedford_Avenue_(BMT_Canarsie_Line)
122,Graham Avenue (BMT Canarsie Line),https://en.wikipedia.org/wiki/Graham_Avenue_(BMT_Canarsie_Line)
123,Grand Street (BMT Canarsie Line),https://en.wikipedia.org/wiki/Grand_Street_(BMT_Canarsie_Line)
124,Montrose Avenue (BMT Canarsie Line),https://en.wikipedia.org/wiki/Montrose_Avenue_(BMT_Canarsie_Line)
125,Morgan Avenue (BMT Canarsie Line),https://en.wikipedia.org/wiki/Morgan_Avenue_(BMT_Canarsie_Line)
126,Jefferson Street (BMT Canarsie Line),https://en.wikipedia.org/wiki/Jefferson_Street_(BMT_Canarsie_Line)
127,DeKalb Avenue (BMT Canarsie Line),https://en.wikipedia.org/wiki/DeKalb_Avenue_(BMT_Canarsie_Line)
129,Halsey Street (BMT Canarsie Line),https://en.wikipedia.org/wiki/Halsey_Street_(BMT_Canarsie_Line)
130,Wilson Avenue (BMT Canarsie Line),https://en.wikipedia.org/wiki/Wilson_Avenue_(BMT_Canarsie_Line)
131,Bushwick Avenue--Aberdeen Street (BMT Canarsie Line),https://en.wikipedia.org/wiki/Bushwick_Avenue%E2%80%93Aberdeen_Street_(BMT_Canarsie_Line)
133,Atlantic Avenue (BMT Canarsie Line),https://en.wikipedia.org/wiki/Atlantic_Avenue_(BMT_Canarsie_Line)
134,Sutter Avenue (BMT Canarsie Line),https://en.wikipedia.org/wiki/Sutter_Avenue_(BMT_Canarsie_Line)
135,Livonia Avenue (BMT Canarsie Line),https://en.wikipedia.org/wiki/Livonia_Avenue_(BMT_Canarsie_Line)
136,New Lots Avenue (BMT Canarsie Line),https://en.wikipedia.org/wiki/New_Lots_Avenue_(BMT_Canarsie_Line)
